distance,throughput,delay
0.0,134.38016,121.123763
1.0,134.99696,131.149062
2.8284271247461903,148.470613,122.787378
5.196152422706632,180.59904,38.029783
8.0,203.25616,7.940914
11.180339887498949,203.25616,7.940914
14.696938456699069,203.25616,7.940914
18.520259177452136,203.25616,7.940914
22.627416997969522,203.25616,7.940914
27.0,203.25616,7.940914
31.622776601683793,199.0208,19.520164
36.4828726939094,199.0208,19.520164
41.569219381653056,199.0208,19.520164
46.87216658103186,203.25616,7.940914
52.38320341483518,203.25616,7.940914
58.09475019311125,203.25616,7.940914
64.0,203.25616,7.940914
70.09279563550022,203.25616,7.940914
76.36753236814714,195.840853,12.77378
82.8190799272728,199.980267,8.791719
89.44271909999159,199.665013,8.897253
96.23408959407264,199.665013,8.897253
103.18914671611545,199.665013,8.897253
110.30412503619254,197.937973,10.04531
117.57550765359255,197.389707,10.962303
125.0,193.072107,11.931421
132.5745073534124,193.072107,11.931421
140.29611541307906,193.072107,11.931421
148.1620734196171,192.784267,11.969598
156.16977940690063,197.321173,19.067003
164.31676725154983,192.48272,21.958204
172.60069524773067,192.8528,22.437552
181.01933598375618,192.8528,22.437552
189.57056733575496,189.659147,29.28951
198.25236442474022,189.659147,29.28951
207.06279240848656,186.328427,34.758708
216.0,186.328427,34.758708
225.06221362103412,182.888053,36.025599
234.2477321128211,178.4608,43.905316
243.55492193753753,175.50016,48.768865
252.98221281347034,175.50016,48.768865
262.5280937347468,168.96208,59.829624
272.19110933313016,166.426347,65.275468
281.96985654498604,159.737493,72.282116
291.8629815512752,155.26912,79.705144
301.8691769624716,155.06352,80.209526
311.9871792237623,154.515253,80.436727
322.21576621884907,144.7424,84.351681
332.55375505322445,141.00048,95.892802
343.0,137.820533,103.763914
353.5533905932738,135.2848,114.122422
364.21284985568536,132.625707,118.249387
374.9773326482549,129.994027,120.459648
385.84582413186746,110.98288,109.537556
396.81733833087486,106.37744,119.363138
407.8909167902615,105.993653,120.781988
419.06562731868144,105.993653,120.781988
430.34056281043274,102.662933,126.328407
441.7148401401067,101.9776,127.465245
453.18759912424787,112.572853,142.534445
464.75800154489,111.88752,142.938683
476.42523023030594,108.80352,142.3539
488.18848818873226,106.692693,148.93366
500.0469977912076,104.4448,148.491064
512.0,102.416213,160.699842
524.0467536394058,100.401333,185.587554
536.1865347059734,99.46928,186.925044
548.4186357154541,99.05808,190.440015
560.7423650840018,98.797653,166.167673
573.1570465413472,94.850133,166.396193
585.6620185738528,89.72384,178.747566
598.2566338955214,88.98368,180.054271
610.9402589451771,88.641013,180.443268
623.7122734081797,87.558187,181.720768
636.5720697611544,87.54448,181.745503
649.519052838329,87.229227,181.444078
662.5526394181824,87.229227,181.475504
675.6722578291934,84.33712,173.651213
688.877347573572,81.979573,183.341118
702.1673589679315,81.12976,182.181584
715.5417527999327,77.34672,202.230108
729.0,69.054187,179.927329
742.5415813272682,67.985067,182.619489
756.1659870689768,67.985067,182.619489
769.8727167525811,65.449333,182.764801
783.6612788698955,64.695467,193.541692
797.5311906126306,64.695467,193.541692
811.4819776187269,61.43328,196.372169
825.5131737289236,61.241387,196.503972
839.6243207530378,61.241387,196.503972
853.8149682454624,60.336747,197.883225
868.0846732894205,60.185973,198.687187
882.4330002895404,63.379627,224.980588
896.8595207723448,62.858773,228.178012
911.3638131942698,61.405867,281.001575
925.9454627568516,60.953547,246.113824
940.6040612287404,60.953547,246.113824
955.3392067742221,60.871307,245.960604
970.1505037879432,59.884427,244.686682
985.0375627355537,58.47264,231.697913
1000.0,57.48576,232.642718
1015.0374377332099,57.48576,232.642718
1030.1495037129318,57.48576,232.642718
1045.3358312044986,53.483413,252.686812
1060.5960588272992,53.524533,252.498734
1075.929830425758,47.37024,235.178996
1091.336794944622,49.083573,213.508858
1106.8166063083802,49.083573,213.508858
1122.3689233046325,48.082987,218.996396
1137.99340947125,44.73856,212.655778
1153.6897329871667,44.73856,212.655778
1169.4575665666541,44.73856,212.655778
1185.2965873569367,44.628907,212.59726
1201.2064768390153,43.683147,216.486567
1217.1869207315694,42.586613,216.599309
1233.2376088978149,41.956107,216.819318
1249.358235255205,41.956107,216.819318
1265.5484976878602,41.956107,216.819318
1281.8080979616254,41.98352,217.012363
1298.13674164165,38.2416,236.890272
1314.5341380123987,38.2416,236.890272
1331.0,37.967467,236.75818
1347.5340440968457,37.967467,236.75818
1364.1359902883582,37.91264,236.488722
1380.8055619818454,37.282133,227.939402
1397.5424859373686,40.21536,243.776962
1414.3464922005498,40.21536,243.776962
1431.21731403725,40.05088,244.973164
1448.1546878700494,39.96864,247.774263
1465.1583532164707,38.995467,245.41751
1482.2280526288794,37.8304,254.459036
1499.363531636007,37.734453,254.014115
1516.5645386860397,34.403733,234.552111
1533.830825091216,32.52592,288.700203
1551.1621449738902,32.52592,288.700203
1568.5582552140038,30.606987,243.655357
1586.0189153979218,30.456213,245.291619
1603.5438877685885,30.2232,247.486481
1621.132937176961,29.140373,269.274729
1638.785831034672,29.085547,270.436984
1656.5023392678925,27.331093,276.318819
1674.2822342723464,27.331093,276.318819
1692.125290869444,27.331093,276.318819
1710.0312862634999,27.331093,276.318819
1728.0,27.331093,276.318819
1746.0312139248829,27.331093,276.318819
1764.1247121448075,25.549227,280.928016
1782.2802809883747,24.726827,275.059505
1800.497708968273,24.521227,274.679552
1818.7767867443217,24.4664,275.156216
1837.1173070873836,24.4664,275.156216
1855.5190648441207,23.76736,281.970766
1873.9818569025688,23.76736,281.970766
1892.505482158506,22.670827,281.278775
1911.089741482592,22.670827,281.278775
